"Category Name","Full Name","Total Sales Amount Including Discount","Percentage of Total Sales in Category","Percentage of Total Sales Overall"
"Beverages","Margaret Peacock","50308.21","0.21602","0.03974"
"Beverages","Nancy Davolio","46599.35","0.24257","0.03681"
"Beverages","Janet Leverling","44757.40","0.22068","0.03536"
"Beverages","Andrew Fuller","40248.25","0.24168","0.03180"
"Beverages","Robert King","27963.83","0.22449","0.02209"
"Beverages","Anne Dodsworth","19642.55","0.25408","0.01552"
"Beverages","Laura Callahan","17897.85","0.14108","0.01414"
"Beverages","Steven Buchanan","11000.53","0.15991","0.00869"
"Beverages","Michael Suyama","9450.20","0.12786","0.00747"
"Condiments","Margaret Peacock","23314.87","0.10011","0.01842"
"Condiments","Andrew Fuller","14850.67","0.08917","0.01173"
"Condiments","Laura Callahan","14637.66","0.11538","0.01156"
"Condiments","Nancy Davolio","13561.56","0.07059","0.01071"
"Condiments","Janet Leverling","13381.64","0.06598","0.01057"
"Condiments","Anne Dodsworth","10125.54","0.13098","0.00800"
"Condiments","Robert King","8851.37","0.07106","0.00699"
"Condiments","Michael Suyama","4648.47","0.06289","0.00367"
"Condiments","Steven Buchanan","2675.30","0.03889","0.00211"
"Confections","Janet Leverling","33622.40","0.16578","0.02656"
"Confections","Nancy Davolio","28568.92","0.14871","0.02257"
"Confections","Margaret Peacock","27768.73","0.11923","0.02194"
"Confections","Laura Callahan","21699.91","0.17105","0.01714"
"Confections","Andrew Fuller","21455.69","0.12883","0.01695"
"Confections","Robert King","14518.99","0.11655","0.01147"
"Confections","Anne Dodsworth","8053.16","0.10417","0.00636"
"Confections","Michael Suyama","6859.63","0.09281","0.00542"
"Confections","Steven Buchanan","4809.80","0.06992","0.00380"
"Dairy Products","Nancy Davolio","36022.98","0.18751","0.02846"
"Dairy Products","Margaret Peacock","33549.80","0.14406","0.02650"
"Dairy Products","Janet Leverling","32320.83","0.15936","0.02553"
"Dairy Products","Robert King","27621.86","0.22174","0.02182"
"Dairy Products","Andrew Fuller","23812.55","0.14299","0.01881"
"Dairy Products","Steven Buchanan","21937.63","0.31890","0.01733"
"Dairy Products","Laura Callahan","21101.47","0.16633","0.01667"
"Dairy Products","Anne Dodsworth","21101.12","0.27295","0.01667"
"Dairy Products","Michael Suyama","17039.04","0.23053","0.01346"
"Grains/Cereals","Margaret Peacock","22579.61","0.09695","0.01784"
"Grains/Cereals","Janet Leverling","21235.01","0.10470","0.01678"
"Grains/Cereals","Andrew Fuller","11172.95","0.06709","0.00883"
"Grains/Cereals","Laura Callahan","11072.05","0.08728","0.00875"
"Grains/Cereals","Michael Suyama","9410.70","0.12732","0.00743"
"Grains/Cereals","Nancy Davolio","8465.90","0.04407","0.00669"
"Grains/Cereals","Robert King","6535.50","0.05247","0.00516"
"Grains/Cereals","Steven Buchanan","4027.56","0.05855","0.00318"
"Grains/Cereals","Anne Dodsworth","1245.30","0.01611","0.00098"
"Meat/Poultry","Margaret Peacock","30867.14","0.13254","0.02439"
"Meat/Poultry","Andrew Fuller","29873.60","0.17938","0.02360"
"Meat/Poultry","Robert King","21176.72","0.17000","0.01673"
"Meat/Poultry","Janet Leverling","20502.62","0.10109","0.01620"
"Meat/Poultry","Laura Callahan","16395.28","0.12924","0.01295"
"Meat/Poultry","Nancy Davolio","15038.47","0.07828","0.01188"
"Meat/Poultry","Steven Buchanan","11488.20","0.16700","0.00908"
"Meat/Poultry","Michael Suyama","9003.69","0.12181","0.00711"
"Meat/Poultry","Anne Dodsworth","8676.66","0.11223","0.00685"
"Produce","Nancy Davolio","19706.25","0.10258","0.01557"
"Produce","Margaret Peacock","17186.56","0.07380","0.01358"
"Produce","Laura Callahan","12016.52","0.09472","0.00949"
"Produce","Janet Leverling","11960.85","0.05897","0.00945"
"Produce","Michael Suyama","11560.70","0.15641","0.00913"
"Produce","Robert King","10753.38","0.08633","0.00850"
"Produce","Andrew Fuller","9376.48","0.05630","0.00741"
"Produce","Steven Buchanan","7109.02","0.10334","0.00562"
"Produce","Anne Dodsworth","314.81","0.00407","0.00025"
"Seafood","Margaret Peacock","27315.93","0.11729","0.02158"
"Seafood","Janet Leverling","25032.09","0.12342","0.01978"
"Seafood","Nancy Davolio","24144.15","0.12568","0.01907"
"Seafood","Andrew Fuller","15747.57","0.09456","0.01244"
"Seafood","Laura Callahan","12041.54","0.09492","0.00951"
"Seafood","Anne Dodsworth","8148.90","0.10541","0.00644"
"Seafood","Robert King","7146.58","0.05737","0.00565"
"Seafood","Michael Suyama","5940.70","0.08037","0.00469"
"Seafood","Steven Buchanan","5744.25","0.08350","0.00454"
